algorithm,config,objective_best,objective_mean,objective_std,rho_mean,cr_mean,p_value_vs_baseline,significant_vs_baseline,better_than_baseline,w_w_cost,w_w_emissions,w_w_reliability,w_w_social,seed_best
I2PLS,i2pls_1,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,True,True,0.1829909630,0.4005137790,0.0539036061,0.3625916520,241528207
I2PLS,i2pls_2,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,True,True,0.3394848852,0.3986975359,0.1887978902,0.0730196887,465119199
I2PLS,i2pls_3,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,True,True,0.3466283170,0.1401461557,0.4005794598,0.1126460675,969604544
I2PLS,i2pls_4,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,True,True,0.2630441675,0.2252674123,0.2334345332,0.2782538870,458517706
I2PLS,i2pls_5,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,True,True,0.0763662428,0.0293728302,0.5381881421,0.3560727849,943942816
I2PLS,i2pls_6,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,True,True,0.1759705358,0.4976992381,0.1368257357,0.1895044904,801959002
I2PLS,i2pls_7,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,True,True,0.1068988140,0.0185316145,0.2099980688,0.6645715027,11697151
I2PLS,i2pls_8,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,True,True,0.0398724740,0.4401539040,0.1749034864,0.3450701355,16154028
MTS,mts_1,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,True,True,0.7333036265,0.0709422572,0.0979731314,0.0977809850,423814265
MTS,mts_2,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,True,True,0.1915921208,0.2241069301,0.2237089178,0.3605920313,873614915
MTS,mts_3,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,True,True,0.3172951759,0.1718749997,0.3079847119,0.2028451124,889143888
MTS,mts_4,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,True,True,0.1067977752,0.4340841747,0.2250055454,0.2341125046,194750415
MTS,mts_5,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,True,True,0.3866139164,0.2694885958,0.2369701626,0.1069273251,987334396
MTS,mts_6,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,True,True,0.2940258646,0.3786641878,0.0621128326,0.2651971150,623843591
MTS,mts_7,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,True,True,0.0625885540,0.4677103720,0.3521356483,0.1175654257,255396303
MTS,mts_8,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,True,True,0.3556390890,0.2944129996,0.0568571024,0.2930908090,488607811
WILB,wilb_1,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,True,True,0.4673713640,0.2113136549,0.2782866156,0.0430283655,693247024
WILB,wilb_2,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,True,True,0.2189838429,0.4422536080,0.0484029946,0.2903595544,588573862
WILB,wilb_3,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,True,True,0.2494336698,0.3781724598,0.1207232547,0.2516706157,408982734
WILB,wilb_4,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,True,True,0.3089095722,0.2682048699,0.2760716106,0.1468139472,902037982
WILB,wilb_5,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,True,True,0.0000000000,0.3002034217,0.2327749488,0.4670216295,569388250
WILB,wilb_6,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,True,True,0.3671911882,0.2524387505,0.3803700613,0.0000000000,157835723
WILB,wilb_7,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,True,True,0.1771555007,0.0581723537,0.0081501139,0.7565220317,99628377
WILB,wilb_8,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,True,True,0.2148191452,0.0579004622,0.3825322611,0.3447481315,518441736
ILS,ils_1,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,True,True,0.1031140142,0.1622910418,0.4903133577,0.2442815864,398038803
ILS,ils_2,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,True,True,0.3110014204,0.2585684818,0.3189747411,0.1114553567,545669528
ILS,ils_3,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,True,True,0.6549438958,0.1570020503,0.1766526806,0.0114013733,959205452
ILS,ils_4,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,True,True,0.1907744242,0.5513730635,0.0514575387,0.2063949736,675602143
ILS,ils_5,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,True,True,0.2950917514,0.1423507484,0.1873871816,0.3751703186,391957894
ILS,ils_6,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,True,True,0.1391219697,0.4955744160,0.1746259656,0.1906776486,576933952
ILS,ils_7,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,True,True,0.3445577025,0.2865651956,0.0362692197,0.3326078822,487139898
ILS,ils_8,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,True,True,0.2957209592,0.3034651019,0.0806367058,0.3201772332,232084372
LBH,lbh_1,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,True,True,0.0000000000,0.3617237764,0.3996173619,0.2386588617,460560606
LBH,lbh_2,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,True,True,0.4490075551,0.2592197349,0.0981736371,0.1935990729,546061460
LBH,lbh_3,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,True,True,0.2017748198,0.2937101963,0.3532363668,0.1512786172,862815500
LBH,lbh_4,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,True,True,0.2487994762,0.4422208594,0.1408314538,0.1681482107,36332180
LBH,lbh_5,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,True,True,0.2690869297,0.0522067757,0.3875244127,0.2911818819,934776617
LBH,lbh_6,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,True,True,0.1709083625,0.3429653467,0.4242617378,0.0618645530,161546290
LBH,lbh_7,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,True,True,0.0000000000,0.1458948180,0.2732422996,0.5808628824,672790067
LBH,lbh_8,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,True,True,0.2492127020,0.1085457690,0.1216457737,0.5205957552,434484918
